Designator,Footprint,Quantity,Value,LCSC Part #
BOOT,SW_SPST_B3U-1000P,1,Boot,
"C1, C2, C3, C4, C5, C6",0805,6,100nF,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D68, D69, D7, D8, D9",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,63,SK6812MINI-E,
"D103, D104, D105, D106, D111, D112, D113, D114, D115, D119, D120, D121, D122, D126, D127, D128, D129, D133, D134, D135, D136, D140, D141, D142, D143, D144, D147, D148, D149, D150, D151, D154, D155, D156, D158, D161, D162, D165, D63, D64, D65, D66, D67, D71, D72, D73, D74, D75, D79, D80, D81, D82, D83, D87, D88, D89, D90, D95, D96, D97, D98",D_DO-35_SOD27_P7.62mm_Horizontal,61,1N4148,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",0603,2,5.1k,
R3,0603,1,10k,
RESET,SW_SPST_B3U-1000P,1,Reset,
SW1,SW_Cherry_MX_1.50u_PCB,1,Tab,
SW10,SW_Cherry_MX_1.25u_PCB,1,Left_Ctrl,
SW11,SW_Cherry_MX_1.25u_PCB,1,Left_Win,
SW12,SW_Cherry_MX_1.25u_PCB,1,Left_Alt,
SW13,SW_Cherry_MX_1.25u_PCB,1,Fn,
SW14,SW_Cherry_MX_1.00u_PCB,1,Esc,
SW15,SW_Cherry_MX_1.00u_PCB,1,1,
SW16,SW_Cherry_MX_1.00u_PCB,1,2,
SW17,SW_Cherry_MX_1.00u_PCB,1,3,
SW18,SW_Cherry_MX_1.00u_PCB,1,4,
SW19,SW_Cherry_MX_1.00u_PCB,1,5,
SW2,SW_Cherry_MX_1.75u_PCB,1,Caps_Lock,
SW20,SW_Cherry_MX_1.00u_PCB,1,6,
SW21,SW_Cherry_MX_1.00u_PCB,1,7,
SW22,SW_Cherry_MX_1.00u_PCB,1,8,
SW23,SW_Cherry_MX_1.00u_PCB,1,9,
SW24,SW_Cherry_MX_1.00u_PCB,1,0,
SW25,SW_Cherry_MX_1.00u_PCB,1,-,
SW26,SW_Cherry_MX_1.00u_PCB,1,=,
SW27,SW_Cherry_MX_1.00u_PCB,1,Q,
SW28,SW_Cherry_MX_1.00u_PCB,1,W,
SW29,SW_Cherry_MX_1.00u_PCB,1,E,
SW3,SW_Cherry_MX_2.25u_PCB,1,Left_Shift,
SW30,SW_Cherry_MX_1.00u_PCB,1,R,
SW31,SW_Cherry_MX_1.00u_PCB,1,T,
SW32,SW_Cherry_MX_1.00u_PCB,1,Y,
SW33,SW_Cherry_MX_1.00u_PCB,1,U,
SW34,SW_Cherry_MX_1.00u_PCB,1,I,
SW35,SW_Cherry_MX_1.00u_PCB,1,O,
SW36,SW_Cherry_MX_1.00u_PCB,1,P,
SW37,SW_Cherry_MX_1.00u_PCB,1,[,
SW38,SW_Cherry_MX_1.00u_PCB,1,],
SW39,SW_Cherry_MX_1.50u_PCB,1,\,
SW4,SW_Cherry_MX_2.00u_PCB,1,Backspace,
SW40,SW_Cherry_MX_1.00u_PCB,1,A,
SW41,SW_Cherry_MX_1.00u_PCB,1,S,
SW42,SW_Cherry_MX_1.00u_PCB,1,D,
SW43,SW_Cherry_MX_1.00u_PCB,1,F,
SW44,SW_Cherry_MX_1.00u_PCB,1,G,
SW45,SW_Cherry_MX_1.00u_PCB,1,H,
SW46,SW_Cherry_MX_1.00u_PCB,1,J,
SW47,SW_Cherry_MX_1.00u_PCB,1,K,
SW48,SW_Cherry_MX_1.00u_PCB,1,L,
SW49,SW_Cherry_MX_1.00u_PCB,1,;,
SW5,SW_Cherry_MX_2.25u_PCB,1,Enter,
SW50,SW_Cherry_MX_1.00u_PCB,1,',
SW51,SW_Cherry_MX_1.00u_PCB,1,Z,
SW52,SW_Cherry_MX_1.00u_PCB,1,X,
SW53,SW_Cherry_MX_1.00u_PCB,1,C,
SW54,SW_Cherry_MX_1.00u_PCB,1,V,
SW55,SW_Cherry_MX_1.00u_PCB,1,B,
SW56,SW_Cherry_MX_1.00u_PCB,1,N,
SW57,SW_Cherry_MX_1.00u_PCB,1,M,
SW58,SW_Cherry_MX_1.00u_PCB,1,",",
SW59,SW_Cherry_MX_1.00u_PCB,1,.,
SW6,SW_Cherry_MX_2.75u_PCB,1,Right_Shift,
SW60,SW_Cherry_MX_1.00u_PCB,1,/,
SW61,SW_Cherry_MX_1.25u_PCB,1,MENU,
SW7,SW_Cherry_MX_6.25u_PCB,1,Spacebar,
SW8,SW_Cherry_MX_1.25u_PCB,1,Right_Ctrl,
SW9,SW_Cherry_MX_1.25u_PCB,1,Right_Alt,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,
U2,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,SOT-23-6,1,USBLC6-2SC6,
