Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C2, C3, C4, C5, C6",805,6,100nF,C49678,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D68, D69, D7, D8, D9",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,63,SK6812MINI-E,C5149201,
"D103, D104, D105, D106, D111, D112, D113, D114, D115, D119, D120, D121, D122, D126, D127, D128, D129, D133, D134, D135, D136, D140, D141, D142, D143, D144, D147, D148, D149, D150, D151, D154, D155, D156, D158, D161, D162, D165, D63, D64, D65, D66, D67, D71, D72, D73, D74, D75, D79, D80, D81, D82, D83, D87, D88, D89, D90, D95, D96, D97, D98",D_DO-35_SOD27_P7.62mm_Horizontal,61,1N4148,C402212,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,C5184243,
"R1, R2",603,2,5.1k,C23186,
R3,603,1,10k,C25804,
SW1,SW_Hotswap_Kailh_MX_1.00u,1,ESC,C41430893,
SW10,SW_Hotswap_Kailh_MX_1.00u,1,9,C41430893,
SW11,SW_Hotswap_Kailh_MX_1.00u,1,0,C41430893,
SW12,SW_Hotswap_Kailh_MX_1.00u,1,-,C41430893,
SW13,SW_Hotswap_Kailh_MX_1.00u,1,=,C41430893,
SW14,SW_Hotswap_Kailh_MX_2.00u,1,BACKSPACE,C41430893,
SW15,SW_Hotswap_Kailh_MX_1.50u,1,TAB,C41430893,
SW16,SW_Hotswap_Kailh_MX_1.00u,1,Q,C41430893,
SW17,SW_Hotswap_Kailh_MX_1.00u,1,W,C41430893,
SW18,SW_Hotswap_Kailh_MX_1.00u,1,E,C41430893,
SW19,SW_Hotswap_Kailh_MX_1.00u,1,R,C41430893,
SW2,SW_Hotswap_Kailh_MX_1.00u,1,1,C41430893,
SW20,SW_Hotswap_Kailh_MX_1.00u,1,T,C41430893,
SW21,SW_Hotswap_Kailh_MX_1.00u,1,Y,C41430893,
SW22,SW_Hotswap_Kailh_MX_1.00u,1,U,C41430893,
SW23,SW_Hotswap_Kailh_MX_1.00u,1,I,C41430893,
SW24,SW_Hotswap_Kailh_MX_1.00u,1,O,C41430893,
SW25,SW_Hotswap_Kailh_MX_1.00u,1,P,C41430893,
SW26,SW_Hotswap_Kailh_MX_1.00u,1,[,C41430893,
SW27,SW_Hotswap_Kailh_MX_1.00u,1,],C41430893,
SW28,SW_Hotswap_Kailh_MX_1.50u,1,\,C41430893,
SW29,SW_Hotswap_Kailh_MX_1.75u,1,CAPSLOCK,C41430893,
SW3,SW_Hotswap_Kailh_MX_1.00u,1,2,C41430893,
SW30,SW_Hotswap_Kailh_MX_1.00u,1,A,C41430893,
SW31,SW_Hotswap_Kailh_MX_1.00u,1,S,C41430893,
SW32,SW_Hotswap_Kailh_MX_1.00u,1,D,C41430893,
SW33,SW_Hotswap_Kailh_MX_1.00u,1,F,C41430893,
SW34,SW_Hotswap_Kailh_MX_1.00u,1,G,C41430893,
SW35,SW_Hotswap_Kailh_MX_1.00u,1,H,C41430893,
SW36,SW_Hotswap_Kailh_MX_1.00u,1,J,C41430893,
SW37,SW_Hotswap_Kailh_MX_1.00u,1,K,C41430893,
SW38,SW_Hotswap_Kailh_MX_1.00u,1,L,C41430893,
SW39,SW_Hotswap_Kailh_MX_1.00u,1,,,C41430893
SW4,SW_Hotswap_Kailh_MX_1.00u,1,3,C41430893,
SW40,SW_Hotswap_Kailh_MX_1.00u,1,',C41430893,
SW41,SW_Hotswap_Kailh_MX_2.25u,1,ENTER,C41430893,
SW42,SW_Hotswap_Kailh_MX_2.25u,1,LEFTSHIFT,C41430893,
SW43,SW_Hotswap_Kailh_MX_1.00u,1,Z,C41430893,
SW44,SW_Hotswap_Kailh_MX_1.00u,1,X,C41430893,
SW45,SW_Hotswap_Kailh_MX_1.00u,1,C,C41430893,
SW46,SW_Hotswap_Kailh_MX_1.00u,1,V,C41430893,
SW47,SW_Hotswap_Kailh_MX_1.00u,1,B,C41430893,
SW48,SW_Hotswap_Kailh_MX_1.00u,1,N,C41430893,
SW49,SW_Hotswap_Kailh_MX_1.00u,1,M,C41430893,
SW5,SW_Hotswap_Kailh_MX_1.00u,1,4,C41430893,
SW50,SW_Hotswap_Kailh_MX_1.00u,1,",",C41430893,
SW51,SW_Hotswap_Kailh_MX_1.00u,1,.,C41430893,
SW52,SW_Hotswap_Kailh_MX_1.00u,1,/,C41430893,
SW53,SW_Hotswap_Kailh_MX_2.75u,1,RIGHTSHIFT,C41430893,
SW54,SW_Hotswap_Kailh_MX_1.25u,1,LEFTCTRL,C41430893,
SW55,SW_Hotswap_Kailh_MX_1.25u,1,LEFTWIN,C41430893,
SW56,SW_Hotswap_Kailh_MX_1.25u,1,LEFTALT,C41430893,
