Ref,Val,Package,PosX,PosY,Rot,Side
"D2","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-61.750000,-84.000000,0.000000,bottom
"D3","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-81.025000,-84.250000,0.000000,bottom
"D4","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-101.025000,-84.250000,0.000000,bottom
"D5","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-120.025000,-84.250000,0.000000,bottom
"D6","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-139.525000,-84.250000,0.000000,bottom
"D7","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-158.750000,-84.250000,0.000000,bottom
"D8","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-178.525000,-84.250000,0.000000,bottom
"D9","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-198.025000,-84.250000,0.000000,bottom
"D10","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-217.525000,-84.250000,0.000000,bottom
"D11","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-237.025000,-84.250000,0.000000,bottom
"D12","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-256.525000,-84.250000,0.000000,bottom
"D13","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-275.750000,-84.000000,0.000000,bottom
"D14","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-295.525000,-84.250000,0.000000,bottom
"D15","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-324.525000,-84.250000,0.000000,bottom
"D16","SK6812MINI-E","LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount",-329.525000,-103.750000,180.000000,bottom
