Designator,Mid X,Mid Y,Rotation,Layer
C1,331.5,-57,0,top
C2,320.49,-63.55,270,top
C3,323.5,-63.55,90,top
C4,326.51,-63.55,90,top
C5,329.52,-63.55,90,top
C6,332.53,-63.55,270,top
D10,217.525,-84.25,180,bottom
D103,153.25,-70.5,0,bottom
D104,162.44,-90,0,bottom
D105,166.75,-109.5,0,bottom
D106,177.06,-129,0,bottom
D11,237.025,-84.25,180,bottom
D111,172.25,-70.5,0,bottom
D112,181.94,-90,0,bottom
D113,186.25,-109.5,0,bottom
D114,196.25,-129,0,bottom
D115,171.44,-154.5,0,bottom
D119,192.06,-70.5,0,bottom
D12,256.525,-84.25,180,bottom
D120,201.94,-90,0,bottom
D121,206.25,-109.5,0,bottom
D122,216.25,-129,0,bottom
D126,211.75,-70.5,0,bottom
D127,220.94,-90,0,bottom
D128,225.44,-109.5,0,bottom
D129,235.44,-129,0,bottom
D13,275.75,-84,180,bottom
D133,231.06,-70.5,0,bottom
D134,240.44,-90,0,bottom
D135,245.44,-109.5,0,bottom
D136,254.94,-129,0,bottom
D14,295.525,-84.25,180,bottom
D140,250.44,-70.5,0,bottom
D141,259.94,-90,0,bottom
D142,264.56,-109.5,0,bottom
D143,274.44,-129,0,bottom
D144,243.44,-154.5,0,bottom
D147,269.75,-70.5,0,bottom
D148,279.44,-90,0,bottom
D149,282.94,-109.5,0,bottom
D15,324.525,-84.25,180,bottom
D150,302.94,-135,0,bottom
D151,276.75,-148,0,bottom
D154,289.75,-70.5,0,bottom
D155,299.44,-90,0,bottom
D156,307.94,-115.5,0,bottom
D158,296.44,-148.5,0,bottom
D16,329.525,-103.75,0,bottom
D161,316.94,-68.5,0,bottom
D162,323.44,-90,0,bottom
D165,324.44,-148.5,0,bottom
D17,305.025,-103.75,0,bottom
D18,285.525,-103.75,0,bottom
D19,266.025,-103.75,0,bottom
D2,61.75,-84,180,bottom
D20,246.525,-103.75,0,bottom
D21,227.025,-103.75,0,bottom
D22,207.25,-103.5,0,bottom
D23,187.75,-103.5,0,bottom
D24,168.75,-103.5,0,bottom
D25,149.025,-103.75,0,bottom
D26,129.025,-103.75,0,bottom
D27,110.025,-103.75,0,bottom
D28,90.525,-103.75,0,bottom
D29,66.525,-103.75,0,bottom
D3,81.025,-84.25,180,bottom
D30,68.525,-123.25,180,bottom
D31,95.025,-123.25,180,bottom
D32,114.525,-123.25,180,bottom
D33,134.025,-123.25,180,bottom
D34,153.525,-123.25,180,bottom
D35,173.025,-123.25,180,bottom
D36,192.525,-123.25,180,bottom
D37,212.025,-123.25,180,bottom
D38,231.75,-123,180,bottom
D39,251.025,-123.25,180,bottom
D4,101.025,-84.25,180,bottom
D40,270.525,-123.25,180,bottom
D41,290.025,-123.25,180,bottom
D42,322.025,-123.25,180,bottom
D43,316.525,-142.75,0,bottom
D44,280.75,-142.75,0,bottom
D45,260.975,-142.75,0,bottom
D46,241.475,-142.75,0,bottom
D47,221.975,-142.75,0,bottom
D48,202.475,-142.75,0,bottom
D49,182.75,-142.5,0,bottom
D5,120.025,-84.25,180,bottom
D50,163.75,-142.5,0,bottom
D51,143.75,-142.5,0,bottom
D52,124.75,-142.5,0,bottom
D53,105.025,-142.75,0,bottom
D54,73.475,-142.75,0,bottom
D55,64.25,-162,180,bottom
D56,88.75,-162,180,bottom
D57,113.25,-162,180,bottom
D58,149.25,-161.75,180,bottom
D59,185.025,-162.25,180,bottom
D6,139.525,-84.25,180,bottom
D60,220.25,-162.25,180,bottom
D61,257.025,-162.25,180,bottom
D62,281.525,-161.75,180,bottom
D63,50.75,-70.5,0,bottom
D64,55.25,-89.5,0,bottom
D65,54.75,-115.5,0,bottom
D66,59.94,-135,0,bottom
D67,50.75,-154.5,0,bottom
D68,306.025,-162.25,180,bottom
D69,330.525,-162.25,180,bottom
D7,158.75,-84.25,180,bottom
D71,75.25,-70.5,0,bottom
D72,84.25,-89.5,0,bottom
D73,89.25,-109.5,0,bottom
D74,98.75,-129,0,bottom
D75,82.75,-148.5,0,bottom
D79,94.75,-70.5,0,bottom
D8,178.525,-84.25,180,bottom
D80,104.25,-89.5,0,bottom
D81,108.25,-109.5,0,bottom
D82,118.75,-129,0,bottom
D83,107.75,-148.5,0,bottom
D87,114.25,-70.5,0,bottom
D88,123.25,-90,0,bottom
D89,128.25,-109.5,0,bottom
D9,198.025,-84.25,180,bottom
D90,138.25,-129,0,bottom
D95,133.75,-70.5,0,bottom
D96,143.25,-90,0,bottom
D97,147.75,-109.5,0,bottom
D98,157.75,-128.5,0,bottom
J1,108,-46.075,180,top
R1,111,-58.5,180,bottom
R2,104.5,-58.5,0,bottom
R3,324.825,-58,0,top
SW1,60,-75,0,top
SW10,235.42,-75,0,top
SW11,254.92,-75,0,top
SW12,274.42,-75,0,top
SW13,293.92,-75,0,top
SW14,322.92,-75,0,top
SW15,64.76576,-94.489527,0,top
SW16,89,-94.5,0,top
SW17,108.42,-94.5,0,top
SW18,127.81,-94.54,0,top
SW19,147.31,-94.5,0,top
SW2,79.5,-75,0,top
SW20,167,-94.5,0,top
SW21,186.5,-94.5,0,top
SW22,206.08,-94.5,0,top
SW23,225.5,-94.5,0,top
SW24,245,-94.5,0,top
SW25,264.5,-94.5,0,top
SW26,284,-94.5,0,top
SW27,303.58,-94.5,0,top
SW28,327.92,-94.5,0,top
SW29,67,-114,0,top
SW3,98.92,-75,0,top
SW30,93.5,-114,0,top
SW31,113,-114,0,top
SW32,132.5,-114,0,top
SW33,152.08,-114,0,top
SW34,171.5,-114,0,top
SW35,190.92,-114,0,top
SW36,210.5,-114,0,top
SW37,230,-114,0,top
SW38,249.5,-114,0,top
SW39,268.92,-114,0,top
SW4,118.5,-75,0,top
SW40,288.42,-114,0,top
SW41,319.92,-114,0,top
SW42,71.92,-133.5,0,top
SW43,103.5,-133.5,0,top
SW44,123.08,-133.5,0,top
SW45,142.58,-133.5,0,top
SW46,161.92,-133.5,0,top
SW47,181.42,-133.5,0,top
SW48,200.92,-133.5,0,top
SW49,220.42,-133.5,0,top
SW5,137.92,-75,0,top
SW50,239.92,-133.5,0,top
SW51,259.42,-133.5,0,top
SW52,278.92,-133.5,0,top
SW53,315,-133.5,0,top
SW54,62.5,-153,0,top
SW55,87,-153,0,top
SW56,111.5,-153,0,top
SW57,183.5,-153,0,top
SW58,255.5,-153,0,top
SW59,279.92,-153,0,top
SW6,157.42,-75,0,top
SW60,304.42,-153,0,top
SW61,328.92,-153,0,top
SW62,324.2,-50,270,top
SW63,329.3,-50,90,top
SW7,176.92,-75,0,top
SW8,196.42,-75,0,top
SW9,216,-75,0,top
U1,316,-55,180,top
U2,54,-56,90,top
U3,134.65,-56.2,180,top
U4,122.1375,-58.05,180,top
