Designator,Mid X,Mid Y,Rotation,Layer
BOOT,177.0,-30.0,90.0,top
C1,182.0,-33.0,0.0,top
C2,211.0,-30.0,0.0,top
C3,215.5,-28.5,0.0,top
C4,219.95,-28.5,0.0,top
C5,223.95,-28.5,0.0,top
C6,206.55,-30.0,0.0,top
D10,268.325,-59.95,180.0,bottom
D103,209.49,-47.45,0.0,bottom
D104,218.55,-66.55,0.0,bottom
D105,223.34,-85.6,0.0,bottom
D106,232.79,-105.05,0.0,bottom
D11,287.525,-60.05,180.0,bottom
D111,228.69,-47.55,0.0,bottom
D112,237.79,-66.55,0.0,bottom
D113,242.49,-85.6,0.0,bottom
D114,252.04,-104.85,0.0,bottom
D115,235.24,-124.35,0.0,bottom
D119,247.79,-47.4,0.0,bottom
D12,306.575,-60.15,180.0,bottom
D120,256.94,-66.55,0.0,bottom
D121,261.69,-85.6,0.0,bottom
D122,271.29,-104.9,0.0,bottom
D126,266.94,-47.45,0.0,bottom
D127,276.14,-66.7,0.0,bottom
D128,280.89,-85.7,0.0,bottom
D129,290.39,-104.85,0.0,bottom
D13,325.575,-60.05,180.0,bottom
D133,286.14,-47.45,0.0,bottom
D134,295.29,-66.6,0.0,bottom
D135,299.99,-85.75,0.0,bottom
D136,309.54,-104.9,0.0,bottom
D14,344.625,-60.0,180.0,bottom
D140,305.09,-47.4,0.0,bottom
D141,314.4,-66.45,0.0,bottom
D142,319.14,-85.7,0.0,bottom
D143,328.74,-104.95,0.0,bottom
D144,306.94,-124.2,0.0,bottom
D147,324.19,-47.55,0.0,bottom
D148,333.59,-66.55,0.0,bottom
D149,338.34,-85.7,0.0,bottom
D15,373.375,-60.05,180.0,bottom
D150,365.44,-104.85,0.0,bottom
D151,331.19,-124.15,0.0,bottom
D154,343.29,-47.45,0.0,bottom
D155,352.79,-66.6,0.0,bottom
D156,369.59,-85.7,0.0,bottom
D158,384.64,-124.25,0.0,bottom
D16,378.325,-79.3,0.0,bottom
D161,372.04,-47.35,0.0,bottom
D162,376.69,-66.5,0.0,bottom
D165,360.89,-124.3,0.0,bottom
D17,354.125,-79.15,0.0,bottom
D18,334.825,-79.2,0.0,bottom
D19,315.85,-79.2,0.0,bottom
D2,114.725,-60.15,180.0,bottom
D20,296.45,-79.2,0.0,bottom
D21,277.45,-79.3,0.0,bottom
D22,258.35,-79.25,0.0,bottom
D23,239.3,-79.3,0.0,bottom
D24,219.9,-79.15,0.0,bottom
D25,200.8,-79.15,0.0,bottom
D26,181.75,-79.1,0.0,bottom
D27,162.4,-79.05,0.0,bottom
D28,143.5,-79.3,0.0,bottom
D29,119.2,-79.25,0.0,bottom
D3,133.9,-60.05,180.0,bottom
D30,121.525,-98.35,180.0,bottom
D31,148.075,-98.2,180.0,bottom
D32,167.275,-98.25,180.0,bottom
D33,186.175,-98.3,180.0,bottom
D34,205.55,-98.3,180.0,bottom
D35,224.725,-98.2,180.0,bottom
D36,243.75,-98.25,180.0,bottom
D37,263.2,-98.25,180.0,bottom
D38,282.025,-98.25,180.0,bottom
D39,301.325,-98.3,180.0,bottom
D4,152.9,-60.2,180.0,bottom
D40,320.325,-98.35,180.0,bottom
D41,339.6,-98.4,180.0,bottom
D42,371.1,-98.3,180.0,bottom
D43,366.3,-117.4,0.0,bottom
D44,330.1,-117.65,0.0,bottom
D45,310.7,-117.5,0.0,bottom
D46,291.7,-117.6,0.0,bottom
D47,272.85,-117.5,0.0,bottom
D48,253.425,-117.4,0.0,bottom
D49,234.325,-117.3,0.0,bottom
D5,172.45,-60.25,180.0,bottom
D50,214.925,-117.65,0.0,bottom
D51,196.025,-117.75,0.0,bottom
D52,176.775,-117.65,0.0,bottom
D53,157.425,-117.55,0.0,bottom
D54,126.65,-117.4,0.0,bottom
D55,117.075,-136.8,0.0,bottom
D56,141.025,-136.75,180.0,bottom
D57,164.95,-136.9,180.0,bottom
D58,203.95,-132.7,180.0,bottom
D59,236.525,-136.75,180.0,bottom
D6,191.625,-60.05,180.0,bottom
D60,271.0,-132.1,180.0,bottom
D61,308.225,-136.9,180.0,bottom
D62,332.5,-136.75,180.0,bottom
D63,113.39,-47.45,0.0,bottom
D64,118.04,-66.7,0.0,bottom
D65,120.49,-85.85,0.0,bottom
D66,124.99,-104.9,0.0,bottom
D67,121.54,-124.1,0.0,bottom
D68,356.5,-137.0,180.0,bottom
D69,380.5,-137.0,180.0,bottom
D7,210.875,-60.1,180.0,bottom
D71,132.59,-47.25,0.0,bottom
D72,142.09,-66.6,0.0,bottom
D73,146.69,-85.65,0.0,bottom
